device_id,date,time,temperature,RH,PM2.5,lat,lon
08BEAC0A0640,2023-08-04,00:00:04,31.8,100.0,6.0,23.160034,120.18215
08BEAC0A089E,2023-08-04,00:00:22,29.6,100.0,0.0,23.12107103,120.4585091
08BEAC0A0340,2023-08-04,00:00:31,31.5,100.0,9.0,22.9193352,120.2170451
08BEAC0A06FA,2023-08-04,00:00:42,29.8,100.0,0.0,23.04435,120.470196
08BEAC0A0826,2023-08-04,00:01:12,31.0,100.0,5.0,23.0865158,120.3191882
08BEAC0A07A2,2023-08-04,00:01:42,30.7,100.0,25.0,25.10392038,121.2447143
08BEAC0A0344,2023-08-04,00:02:09,30.3,100.0,26.0,24.960122,121.178153
08BEAC0A0218,2023-08-04,00:02:17,29.3,100.0,7.0,23.6869687,120.5865383
08BEAC0A0880,2023-08-04,00:02:28,30.0,100.0,4.0,23.7224119,120.3083761
08BEAC0A05AC,2023-08-04,00:02:47,30.7,100.0,0.0,22.912748,120.261227
08BEAC0A0508,2023-08-04,00:02:56,30.8,100.0,5.0,23.138713,120.324702
08BEAC0A0678,2023-08-04,00:03:04,30.3,100.0,8.0,23.139376,120.138374
08BEAC0A06A6,2023-08-04,00:03:11,31.3,100.0,7.0,22.977305,120.186438
08BEAC0A0040,2023-08-04,00:03:16,30.3,100.0,0.0,22.99133,120.230478
08BEAC0A0774,2023-08-04,00:03:27,31.0,100.0,3.0,22.992411,120.294135
08BEAC0A0742,2023-08-04,00:03:43,30.8,100.0,6.0,23.003578,120.240161
08BEAC0A0480,2023-08-04,00:03:49,31.1,100.0,4.0,23.190069,120.192365
08BEAC0A080E,2023-08-04,00:03:52,32.8,100.0,5.0,23.158097,120.170618
08BEAC0A04EC,2023-08-04,00:03:55,30.0,100.0,30.0,24.936085,121.223586
08BEAC0A0226,2023-08-04,00:03:59,30.3,100.0,0.0,23.2174825,120.365091
08BEAC0A019A,2023-08-04,00:04:02,30.8,100.0,7.0,23.3199,120.34515
08BEAC0A01AA,2023-08-04,00:04:06,32.0,91.0,32.0,24.9751,121.269826
08BEAC0A0830,2023-08-04,00:04:07,30.7,100.0,0.0,22.956295,120.248057
08BEAC0A0464,2023-08-04,00:04:15,31.6,100.0,6.0,22.989813,120.203024
08BEAC0A084E,2023-08-04,00:04:17,31.2,100.0,22.0,24.9785086,121.3061612
08BEAC0A0156,2023-08-04,00:04:21,30.0,100.0,0.0,24.0838267,120.752756
08BEAC0A0398,2023-08-04,00:04:26,31.6,100.0,11.0,24.1494507,120.6816876
08BEAC0A0296,2023-08-04,00:04:30,30.6,100.0,5.0,23.741269,120.401443
08BEAC0A0640,2023-08-04,00:05:20,31.8,100.0,7.0,23.160034,120.18215
08BEAC0A089E,2023-08-04,00:05:37,29.6,100.0,0.0,23.12107103,120.4585091
08BEAC0A0340,2023-08-04,00:05:47,31.6,100.0,9.0,22.9193352,120.2170451
08BEAC0A06FA,2023-08-04,00:06:00,29.7,100.0,0.0,23.04435,120.470196
08BEAC0A0826,2023-08-04,00:06:28,31.0,100.0,5.0,23.0865158,120.3191882
08BEAC0A07A2,2023-08-04,00:07:00,30.7,100.0,25.0,25.10392038,121.2447143
08BEAC0A0344,2023-08-04,00:07:24,30.3,100.0,27.0,24.960122,121.178153
08BEAC0A0218,2023-08-04,00:07:31,29.3,100.0,8.0,23.6869687,120.5865383
08BEAC0A0880,2023-08-04,00:07:45,30.0,100.0,3.0,23.7224119,120.3083761
08BEAC0A05AC,2023-08-04,00:08:03,30.6,100.0,0.0,22.912748,120.261227
08BEAC0A0508,2023-08-04,00:08:13,30.8,100.0,5.0,23.138713,120.324702
08BEAC0A06A6,2023-08-04,00:08:27,31.5,100.0,6.0,22.977305,120.186438
08BEAC0A0678,2023-08-04,00:08:29,30.3,100.0,6.0,23.139376,120.138374
08BEAC0A0040,2023-08-04,00:08:31,30.6,100.0,0.0,22.99133,120.230478
08BEAC0A0774,2023-08-04,00:08:43,31.1,100.0,3.0,22.992411,120.294135
08BEAC0A0742,2023-08-04,00:08:59,31.1,100.0,6.0,23.003578,120.240161
08BEAC0A0480,2023-08-04,00:09:07,31.1,100.0,6.0,23.190069,120.192365
08BEAC0A04EC,2023-08-04,00:09:09,29.8,100.0,31.0,24.936085,121.223586
08BEAC0A080E,2023-08-04,00:09:10,32.7,100.0,5.0,23.158097,120.170618
08BEAC0A0226,2023-08-04,00:09:16,30.2,100.0,0.0,23.2174825,120.365091
08BEAC0A019A,2023-08-04,00:09:18,30.8,100.0,6.0,23.3199,120.34515
08BEAC0A0830,2023-08-04,00:09:24,30.6,100.0,0.0,22.956295,120.248057
08BEAC0A01AA,2023-08-04,00:09:25,32.0,91.0,33.0,24.9751,121.269826
08BEAC0A084E,2023-08-04,00:09:33,31.2,100.0,22.0,24.9785086,121.3061612
08BEAC0A0464,2023-08-04,00:09:35,31.6,100.0,6.0,22.989813,120.203024
08BEAC0A0156,2023-08-04,00:09:38,30.0,100.0,0.0,24.0838267,120.752756
08BEAC0A0398,2023-08-04,00:09:42,31.7,100.0,12.0,24.1494507,120.6816876
08BEAC0A0296,2023-08-04,00:09:47,30.7,100.0,4.0,23.741269,120.401443
08BEAC0A0640,2023-08-04,00:10:39,32.0,100.0,6.0,23.160034,120.18215
08BEAC0A089E,2023-08-04,00:10:54,29.6,100.0,0.0,23.12107103,120.4585091
08BEAC0A0340,2023-08-04,00:11:02,31.6,100.0,7.0,22.9193352,120.2170451
08BEAC0A06FA,2023-08-04,00:11:15,29.8,100.0,0.0,23.04435,120.470196
08BEAC0A0826,2023-08-04,00:11:45,31.0,100.0,6.0,23.0865158,120.3191882
